# t, d
0,1.14009
0.001,1.17003
0.002,1.29294
0.003,1.34542
0.004,1.41048
0.005,1.59148
0.006,1.63708
0.007,1.69804
0.008,1.78723
0.009,1.78064
0.01,1.80462
0.011,1.89028
0.012,1.95109
0.013,2.01658
0.014,1.94765
0.015,2.01967
0.016,2.00059
0.017,1.98508
0.018,1.9928
0.019,1.98699
0.02,1.9421
0.021,1.97203
0.022,1.86581
0.023,1.82641
0.024,1.77248
0.025,1.69449
0.026,1.60439
0.027,1.52143
0.028,1.45117
0.029,1.3434
0.03,1.29186
0.031,1.13981
0.032,1.04148
0.033,0.978797
0.034,0.907163
0.035,0.737854
0.036,0.599572
0.037,0.494936
0.038,0.410366
0.039,0.239795
0.04,0.161261
0.041,-0.0426254
0.042,-0.112106
0.043,-0.280548
0.044,-0.406222
0.045,-0.484461
0.046,-0.597506
0.047,-0.761771
0.048,-0.839932
0.049,-0.954946
0.05,-1.06442
0.051,-1.14326
0.052,-1.29014
0.053,-1.34709
0.054,-1.48123
0.055,-1.51694
0.056,-1.64016
0.057,-1.65602
0.058,-1.75825
0.059,-1.86019
0.06,-1.86463
0.061,-1.88832
0.062,-1.9131
0.063,-1.95782
0.064,-2.03079
0.065,-1.99059
0.066,-2.0173
0.067,-1.96513
0.068,-2.004
0.069,-1.96608
0.07,-1.93679
0.071,-1.85225
0.072,-1.84429
0.073,-1.82117
0.074,-1.7586
0.075,-1.66229
0.076,-1.61857
0.077,-1.54065
0.078,-1.46186
0.079,-1.34457
0.08,-1.28441
0.081,-1.13968
0.082,-0.99943
0.083,-0.98578
0.084,-0.86928
0.085,-0.71669
0.086,-0.604468
0.087,-0.477097
0.088,-0.398233
0.089,-0.269267
0.09,-0.118765
0.091,-0.0428206
0.092,0.0489369
0.093,0.227562
0.094,0.310282
0.095,0.557283
0.096,0.629961
0.097,0.738777
0.098,0.850663
0.099,0.94667
0.1,1.06777
0.101,1.20308
0.102,1.24857
0.103,1.36565
0.104,1.47529
0.105,1.5595
0.106,1.63632
0.107,1.70743
0.108,1.71516
0.109,1.85935
0.11,1.86226
0.111,1.91072
0.112,1.91178
0.113,1.98955
0.114,1.95801
0.115,1.98422
0.116,1.97662
0.117,2.03302
0.118,1.94078
0.119,1.90365
0.12,1.94598
0.121,1.91373
0.122,1.8435
0.123,1.76611
0.124,1.73431
0.125,1.69795
